,index,college_name,NIRF_RANK,fee,salary,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,value_rating,No_of_reviews
176,16,"Institute of Engineering and Technology, GLA University",186, ₹ 3.50 Lakh , ₹ 4.48 Lakh,4.1,4.2,4.2,4.1,4.0,4.0,600
177,17,KIET Group of Institutions (KIET),187,, ₹ 4.20 Lakh ,4.2,4.1,4.2,4.2,4.2,4.2,954
178,18,GMR Institute of Technology - GMRIT,188, ₹ 2.64 Lakh, ₹ 3.60 Lakh ,4.0,3.8,4.4,3.9,4.2,3.8,391
179,19,Christ - Kengeri Campus,189, ₹ 7.00 Lakh, ₹ 4.55 Lakh ,3.9,3.1,4.6,4.0,4.2,3.7,84
180,20,Institute of Infrastructure Technology Research and Management,190, ₹ 5.88 Lakh, ₹ 3.36 Lakh ,3.8,3.7,3.9,4.1,3.3,3.9,53
181,21,"Maharishi Markandeshwar University, Mullana",191, ₹ 9.47 Lakh, ₹ 3.80 Lakh ,4.0,3.6,4.2,4.1,4.2,3.8,313
182,22,Galgotias College of Engineering and Technology,192, ₹ 2.20 Lakh, ₹ 3.60 Lakh ,4.1,4.0,3.9,4.1,4.2,4.0,329
183,23,Dr. D. Y. Patil Institute Of Technology,193, ₹ 3.90 Lakh, ₹ 2.76 Lakh ,4.3,4.4,4.3,4.3,4.1,4.3,200
184,24,NIT Delhi - National Institute of Technology,194, ₹ 5.00 Lakh, ₹ 8.00 Lakh ,3.8,4.2,3.3,3.7,3.4,4.2,85
185,25,G.L. Bajaj Institute of Technology and Management,195, ₹ 2.20 Lakh, ₹ 1.75 Lakh,4.0,4.2,3.9,4.1,3.9,4.1,764
186,26,KLE Technological University,196,, ₹ 4.50 Lakh ,4.3,4.2,4.4,4.1,4.5,4.3,189
187,27,Dwarkadas J. Sanghvi College of Engineering,197, ₹ 6.75 Lakh, ₹ 6.00 Lakh ,4.1,4.0,4.2,4.0,4.4,4.0,165
188,28,"Sri Venkateswara College of Engineering and Technology, Chittoor",198, ₹ 1.92 Lakh, ₹ 4.84 Lakh ,3.7,3.2,3.8,3.7,4.0,3.6,167
189,29,BMS Institute of Technology and Management,199, ₹ 8.00 Lakh, ₹ 4.05 Lakh ,4.1,4.1,4.1,4.0,4.1,4.1,183
190,30,Vidya Jyothi Institute of Technology,200, ₹ 4.60 Lakh, ₹ 3.81 Lakh ,3.9,3.7,4.0,3.9,4.0,3.9,201
191,31,Annamalai University,201-250, ₹ 2.15 Lakh, ₹ 2.80 Lakh ,3.6,2.9,3.6,3.9,3.8,3.8,118
192,32,B.N.M Institute of Technology,201-250, ₹ 3.34 Lakh, ₹ 4.50 Lakh ,3.5,3.5,3.3,4.0,3.2,3.6,107
193,33,BVRIT Hyderabad College of Engineering for Women,201-250, ₹ 3.60 Lakh, ₹ 4.50 Lakh ,4.7,4.7,4.6,4.7,4.6,4.6,153
194,34,"Centurion University of Technology and Management, Paralakhemundi",201-250, ₹ 5.00 Lakh, ₹ 3.20 Lakh ,3.8,3.3,4.0,4.1,4.0,3.7,216
195,35,CMR College of  Engineering and Technology,201-250, ₹ 4.00 Lakh, ₹ 3.80 Lakh ,4.1,4.1,4.2,4.0,4.2,4.0,340
196,36,CMR Institute of Technology,201-250, ₹ 3.60 Lakh, ₹ 4.23 Lakh ,4.2,4.2,4.1,4.2,4.3,4.1,282
197,37,CMR Technical Campus,201-250, ₹ 3.20 Lakh, ₹ 3.50 Lakh ,4.1,4.0,4.4,4.0,4.2,4.0,273
198,38,College of Technology and Engineering,201-250, ₹ 1.96 Lakh, ₹ 4.20 Lakh ,3.9,3.5,4.0,3.9,4.0,3.9,220
199,39,Dr. B.C. Roy Engineering College,201-250, ₹ 3.32 Lakh, ₹ 3.80 Lakh ,3.7,3.3,3.9,3.8,3.9,3.7,295
200,0,GITA - Gandhi Institute for Technological Advancement,201-250, ₹ 4.28 Lakh, ₹ 4.50 Lakh ,4.2,3.9,4.2,4.4,4.2,4.2,171
201,1,Godavari Institute of Engineering and Technology,201-250, ₹ 2.35 Lakh, ₹ 3.83 Lakh ,4.0,3.7,4.1,3.9,4.3,3.9,328
202,2,"Government Engineering College, Thrissur",201-250," ₹ 48,780", ₹ 4.50 Lakh ,4.4,4.2,4.2,4.2,4.7,4.7,80
203,3,Guru Nanak Institute of Technology - GNIT,201-250, ₹ 4.08 Lakh, ₹ 3.90 Lakh ,4.4,4.1,4.4,4.4,4.6,4.2,332
204,4,Heritage Institute of Technology,201-250, ₹ 3.93 Lakh, ₹ 3.80 Lakh ,4.1,3.7,4.3,4.0,4.3,4.1,505
205,5,Institute of Aeronautical Engineering,201-250, ₹ 3.60 Lakh, ₹ 5.50 Lakh ,4.0,4.0,4.1,4.0,4.1,4.0,365
206,6,Institute of Engineering and Management,201-250, ₹ 4.12 Lakh, ₹ 4.01 Lakh ,3.9,4.2,3.3,4.2,3.4,4.1,540
207,7,"International Institute of Information Technology, Bhubaneswar",201-250, ₹ 5.00 Lakh ,,3.9,3.9,3.9,3.8,4.2,3.8,148
208,8,JIS College of Engineering,201-250, ₹ 4.08 Lakh, ₹ 4.02 Lakh ,4.1,3.8,4.2,4.3,4.3,4.0,511
209,9,"JNTUA College of Engineering, Ananthapuramu",201-250," ₹ 40,000", ₹ 3.62 Lakh ,3.8,3.4,3.7,3.6,4.2,4.0,237
210,10,Kakatiya Institute of Technology and Science,201-250, ₹ 5.00 Lakh, ₹ 4.33 Lakh ,4.1,3.9,4.3,4.1,4.4,4.0,264
211,11,KPR Institute of Engineering and Technology,201-250, ₹ 2.00 Lakh, ₹ 4.00 Lakh ,4.4,4.2,4.6,4.3,4.4,4.3,105
212,12,Dr. M.G.R. Educational and Research Institute,201-250, ₹ 3.20 Lakh, ₹ 4.50 Lakh ,3.6,3.0,3.9,3.6,3.8,3.5,153
213,13,Maharaja Agrasen Institute of Technology,201-250, ₹ 5.53 Lakh, ₹ 8.15 Lakh ,3.7,3.6,3.7,3.8,3.8,3.8,717
214,14,"Cummins College of Engineering for Women, Pune",201-250, ₹ 7.00 Lakh, ₹ 7.25 Lakh ,4.2,4.5,3.9,4.1,4.3,4.1,69
215,15,Malla Reddy Engineering College,201-250, ₹ 4.12 Lakh, ₹ 3.40 Lakh ,4.0,3.8,4.1,4.0,4.2,3.9,322
216,16,Maulana Abul Kalam Azad University of Technology [MAKAUT],201-250, ₹ 2.20 Lakh, ₹ 4.00 Lakh ,3.9,3.5,4.1,4.1,3.9,4.0,57
217,17,NIT - Narula Institute of Technology,201-250, ₹ 4.70 Lakh, ₹ 4.50 Lakh ,4.1,4.0,4.1,4.3,4.2,4.1,462
218,18,NIT Nagaland - National Institute of Technology,201-250, ₹ 5.00 Lakh, ₹ 10.61 Lakh ,4.0,4.0,4.0,4.0,4.1,4.0,21
219,19,North Eastern Regional Institute of Science and Technology (NERIST),201-250," ₹ 22,000", ₹ 4.00 Lakh ,3.5,2.6,3.1,3.5,3.9,4.4,32
220,20,BV Raju Institute of Technology,201-250, ₹ 4.80 Lakh, ₹ 4.00 Lakh ,4.3,4.3,4.5,4.2,4.6,4.2,264
221,21,Panimalar Engineering College,201-250, ₹ 2.00 Lakh, ₹ 4.02 Lakh ,4.0,3.8,4.5,4.0,3.8,4.0,205
222,22,Prasad V Potluri Siddhartha Institute of Technology,201-250, ₹ 2.80 Lakh, ₹ 3.50 Lakh ,4.0,3.9,3.9,4.1,4.1,4.0,149
223,23,R.M.K. College of Engineering and Technology,201-250, ₹ 2.00 Lakh, ₹ 4.30 Lakh ,3.6,3.6,3.8,3.7,3.4,3.7,21
224,24,RVR and JC College of Engineering,201-250, ₹ 2.78 Lakh, ₹ 3.60 Lakh ,4.2,4.0,4.4,4.2,4.4,4.2,401
225,25,R.M.D. Engineering College,201-250, ₹ 2.00 Lakh, ₹ 4.76 Lakh ,4.0,4.2,4.1,4.1,3.7,4.1,40
226,26,RSET - Rajagiri School of Engineering and Technology,201-250, ₹ 3.00 Lakh, ₹ 4.00 Lakh ,4.0,4.2,4.4,3.9,3.6,3.9,81
227,27,Rajalakshmi Institute of Technology,201-250, ₹ 2.00 Lakh, ₹ 4.15 Lakh ,4.1,4.2,3.8,4.1,4.0,4.1,99
228,28,Rajeev Gandhi Memorial College of Engineering and Technology,201-250, ₹ 2.76 Lakh, ₹ 4.40 Lakh ,3.7,3.2,3.9,3.7,4.0,3.5,226
229,29,Shri G. S. Institute of Technology and Science,201-250, ₹ 2.68 Lakh, ₹ 5.30 Lakh ,3.9,3.8,3.5,3.9,3.9,4.1,306
230,30,Shri Vishnu Engineering College for Women,201-250, ₹ 2.80 Lakh, ₹ 3.80 Lakh ,4.7,4.7,4.8,4.7,4.8,4.6,123
231,31,"SMIT - Sikkim Manipal Institute of Technology, Sikkim Manipal University",201-250, ₹ 12.80 Lakh, ₹ 3.80 Lakh ,4.1,3.9,4.4,4.2,4.3,3.9,241
232,32,"SNS College of Technology, SNS Group of Institutions",201-250, ₹ 2.00 Lakh, ₹ 4.52 Lakh ,4.2,4.0,4.2,4.4,4.3,4.1,172
233,33,Sri Ramakrishna Engineering College,201-250, ₹ 2.00 Lakh, ₹ 4.44 Lakh ,3.9,4.0,3.5,3.9,4.0,4.1,119
234,34,Sri Sai Ram Institute of Technology,201-250, ₹ 2.20 Lakh, ₹ 2.00 Lakh,3.7,3.8,3.7,3.7,3.5,3.6,61
235,35,Sri Venkateswara College of Engineering and Technology,201-250,, ₹ 6.44 Lakh,1.4,1.0,3.0,1.0,1.0,1.0,193
236,36,The National Institute of Engineering,201-250,, ₹ 5.50 Lakh ,4.1,4.2,3.8,4.1,3.9,4.2,222
237,37,"University College of Engineering, Kakinada, Jawaharlal Nehru Technological University, Kakinada",201-250," ₹ 40,000", ₹ 4.00 Lakh ,3.8,3.6,3.8,3.7,4.1,4.1,141
238,38,Vignan Institute of Technology and Science,201-250, ₹ 3.72 Lakh, ₹ 3.40 Lakh,3.9,3.7,4.0,3.8,4.1,3.8,199
239,39,Walchand College of Engineering,201-250,, ₹ 6.00 Lakh ,4.2,4.5,4.0,4.1,4.4,4.2,
240,0,ABES Engineering College,251-300, ₹ 2.20 Lakh, ₹ 13.90 Lakh,4.0,3.9,4.2,4.0,4.0,3.9,926
241,1,Academy of Maritime Education and Training,251-300,, ₹ 3.50 Lakh ,3.6,3.4,3.4,4.0,3.7,3.5,85
242,2,Anil Neerukonda Institute of Technology and Sciences,251-300, ₹ 2.18 Lakh, ₹ 3.60 Lakh ,4.0,4.1,3.8,4.2,3.9,4.0,461
243,3,"Birsa Institute of Technology, Sindri",251-300," ₹ 30,928", ₹ 6.00 Lakh ,4.0,3.7,3.7,3.9,4.1,4.7,433
244,4,Basaveshwar Engineering College,251-300, ₹ 1.75 Lakh, ₹ 3.15 Lakh ,3.8,3.0,4.0,4.0,3.9,3.9,70
245,5,Dr. D.Y. Patil School Of Engineering,251-300, ₹ 3.55 Lakh, ₹ 6.00 Lakh ,3.6,2.6,4.1,3.5,3.9,3.6,17
246,6,E.G.S. Pillay Engineering College,251-300, ₹ 2.00 Lakh, ₹ 3.45 Lakh ,3.7,3.2,3.6,4.0,4.0,3.8,21
247,7,G.B. Pant Government Engineering College,251-300, ₹ 4.88 Lakh,,3.8,4.0,1.0,4.0,5.0,5.0,126
248,8,G.Narayanamma Institute of Technology and Science,251-300,, ₹ 6.37 Lakh ,4.4,4.5,4.4,4.3,4.4,4.3,221
249,9,G. Pulla Reddy Engineering College,251-300, ₹ 2.80 Lakh, ₹ 4.07 Lakh ,4.1,3.9,4.2,4.0,4.3,4.1,267
250,10,GIET University,251-300, ₹ 5.96 Lakh, ₹ 4.20 Lakh ,4.1,3.8,4.3,4.1,4.1,3.9,569
251,11,Gayatri Vidya Parishad College of Engineering,251-300, ₹ 2.76 Lakh, ₹ 4.10 Lakh ,4.0,4.2,3.6,4.1,3.9,4.0,588
252,12,HIT - Haldia Institute of Technology,251-300, ₹ 3.95 Lakh, ₹ 5.25 Lakh ,4.1,3.7,4.2,3.9,4.4,4.1,276
253,13,Integral University - IUL,251-300, ₹ 5.60 Lakh, ₹ 3.36 Lakh ,4.0,3.4,4.3,4.1,4.2,3.9,310
254,14,Rajarshi Shahu College of Engineering,251-300, ₹ 3.90 Lakh, ₹ 4.00 Lakh ,4.1,4.1,4.0,4.4,4.0,3.9,437
255,15,"JSS Academy of Technical Education, JSS Mahavidyapeetha, Noida",251-300, ₹ 2.20 Lakh, ₹ 4.21 Lakh ,3.7,3.3,3.8,3.7,4.0,3.7,196
256,16,K J Somaiya College of Engineering,251-300, ₹ 17.00 Lakh, ₹ 6.00 Lakh ,4.1,4.0,4.3,3.8,4.4,3.9,15
257,17,K. Ramakrishnan College of Technology,251-300, ₹ 2.00 Lakh, ₹ 4.10 Lakh ,4.1,4.0,4.1,4.1,4.3,4.1,27
258,18,Kalaignar Karunanidhi Institute of Technology - KKIT,251-300, ₹ 2.00 Lakh, ₹ 3.00 Lakh ,3.7,3.7,3.9,3.9,3.4,3.8,87
259,19,Karpagam College of Engineering,251-300, ₹ 2.00 Lakh, ₹ 3.15 Lakh ,3.9,4.2,3.7,4.0,4.0,3.9,231
260,20,Lakireddy Bali Reddy College of Engineering,251-300, ₹ 2.79 Lakh, ₹ 3.50 Lakh ,4.1,3.7,4.3,4.1,4.2,4.1,29
261,21,Lakshmi Narain College of Technology and Science,251-300, ₹ 3.92 Lakh, ₹ 4.50 Lakh ,4.2,4.3,3.7,4.3,4.0,4.6,268
262,22,Laxminarayan Institute of Technology,251-300,,,,,,,,,
263,23,Madan Mohan Malviya University of Technology,251-300, ₹ 3.45 Lakh, ₹ 4.00 Lakh ,3.9,3.5,3.9,3.8,4.2,4.0,383
264,24,Madanapalle Institute of Technology and Science,251-300, ₹ 2.79 Lakh, ₹ 4.10 Lakh ,4.3,4.2,4.3,4.4,4.4,4.2,267
265,25,Mahatma Gandhi Institute of Technology,251-300, ₹ 4.80 Lakh, ₹ 4.07 Lakh ,4.0,3.8,4.1,4.1,4.3,3.9,86
266,26,"Malla Reddy Institute of Engineering and Technology, Secunderabad",251-300, ₹ 2.40 Lakh, ₹ 3.50 Lakh ,3.8,3.4,3.8,4.0,4.1,3.9,241
267,27,Manav Rachna University [MRU],251-300, ₹ 4.80 Lakh, ₹ 4.00 Lakh ,3.9,3.6,4.3,3.9,4.1,3.7,14
268,28,Muthoot Institute of Technology and Science,251-300, ₹ 3.00 Lakh, ₹ 3.76 Lakh ,3.9,4.0,4.1,4.4,3.2,4.1,202
269,29,Narasaraopeta Engineering College,251-300, ₹ 2.42 Lakh, ₹ 3.64 Lakh ,4.0,3.7,4.1,4.1,4.1,3.9,84
270,30,NIT Andhra Pradesh - National Institute of Technology,251-300, ₹ 5.00 Lakh, ₹ 6.53 Lakh ,3.5,3.4,3.4,3.7,3.6,3.6,229
271,31,Pimpri Chinchwad College of Engineering,251-300, ₹ 5.20 Lakh, ₹ 4.00 Lakh ,4.1,4.3,4.0,4.1,3.9,4.2,93
272,32,Prof. Ram Meghe Institute of Technology and Research,251-300, ₹ 4.80 Lakh, ₹ 3.62 Lakh ,3.9,3.5,4.1,4.0,4.2,3.8,138
273,33,QIS College of Engineering & Technology,251-300, ₹ 1.47 Lakh, ₹ 5.50 Lakh ,3.8,3.5,3.7,3.9,4.1,3.7,150
274,34,RGPV - Rajiv Gandhi Proudyogiki Vishwavidyalaya,251-300, ₹ 1.60 Lakh, ₹ 3.50 Lakh ,3.6,3.2,3.6,3.4,3.7,4.1,228
275,35,Ramrao Adik Institute of Technology,251-300, ₹ 12.36 Lakh, ₹ 6.40 Lakh ,4.3,4.2,4.5,3.9,4.6,4.1,8
276,36,SDM Institute of Technology,251-300, ₹ 3.60 Lakh, ₹ 4.00 Lakh ,4.0,3.5,4.1,4.1,3.9,4.4,520
277,37,Sagi Rama Krishnam Raju Engineering College,251-300, ₹ 2.80 Lakh, ₹ 3.60 Lakh ,4.1,4.1,4.1,4.1,4.3,4.1,3
278,38,Sri Guru Granth Sahib World University,251-300, ₹ 3.92 Lakh, ₹ 2.50 Lakh ,3.4,3.0,4.3,3.0,3.7,3.0,136
279,39,St. Joseph's College of Engineering,251-300, ₹ 2.00 Lakh, ₹ 4.50 Lakh ,3.8,3.8,3.9,3.7,3.7,3.7,
280,0,IIM Ahmedabad - Indian Institute of Management,1, ₹ 16.99 Lakh, ₹ 27.60 Lakh ,4.6,4.5,4.6,4.6,4.5,4.7,33
281,1,IIM Bangalore - Indian Institute of Management,2, ₹ 24.50 Lakh, ₹ 25.00 Lakh ,4.8,4.9,4.7,4.7,4.8,4.8,25
282,2,IIM Calcutta - Indian Institute of Management,3, ₹ 27.67 Lakh ,,4.7,4.8,4.4,4.6,4.7,4.7,45
283,3,"Department of Management Studies, IIT Delhi",4, ₹ 10.40 Lakh, ₹ 16.20 Lakh ,4.4,4.3,4.5,4.4,4.4,4.7,39
284,4,IIM Kozhikode - Indian Institute of Management,5, ₹ 20.50 Lakh, ₹ 20.00 Lakh ,4.4,4.3,4.4,4.4,4.7,4.4,52
285,5,IIM Lucknow - Indian Institute of Management,6, ₹ 12.60 Lakh, ₹ 23.50 Lakh ,4.5,4.5,4.6,4.3,4.5,4.5,57
286,6,IIM Indore - Indian Institute of Management,7, ₹ 22.60 Lakh , ₹ 25.80 Lakh,4.4,4.2,4.5,4.4,4.5,4.2,198
287,7,XLRI Xavier School of Management,8, ₹ 23.00 Lakh , ₹ 11.33 Lakh,4.6,4.7,4.7,4.4,4.8,4.3,43
288,8,National Institute of Industrial Engineering,9, ₹ 19.50 Lakh , ₹ 9.14 Lakh,4.5,4.7,4.2,4.3,4.6,4.9,47
289,9,DoMS IIT Madras - Department of Management Studies,10, ₹ 13.00 Lakh , ₹ 4.00 Lakh,4.5,4.2,4.6,4.6,4.6,4.3,10
290,10,"Shailesh J. Mehta School of Management, IIT Bombay",11, ₹ 22.00 Lakh , ₹ 3.00 Lakh,4.6,4.5,4.7,4.4,4.7,4.8,68
291,11,IIT Kharagpur - Indian Institute of Technology,12, ₹ 19.20 Lakh , ₹ 24.20 Lakh,4.5,4.5,4.5,4.3,4.7,4.6,399
292,12,Management Development Institute,13, ₹ 23.00 Lakh ,,4.5,4.9,4.3,4.4,4.7,4.2,15
293,13,IIM Raipur - Indian Institute of Management,14,, ₹ 14.19 Lakh,4.1,4.0,4.0,4.2,4.2,4.1,102
294,14,IIM Ranchi - Indian Institute of Management,15, ₹ 14.80 Lakh , ₹ 4.00 Lakh,4.4,4.4,3.8,4.4,4.6,4.4,32
295,15,IIM Rohtak - Indian Institute of Management,16, ₹ 17.90 Lakh, ₹ 13.74 Lakh ,4.2,4.3,4.3,4.1,4.3,4.3,144
296,16,"Symbiosis Institute of Business Management, Symbiosis International, Pune",17, ₹ 22.20 Lakh, ₹ 20.80 Lakh ,4.4,4.4,4.7,4.1,4.7,4.2,80
297,17,IIM Trichy - Indian Institute of Management,18,, ₹ 16.50 Lakh,4.4,4.2,4.7,4.7,4.1,4.3,32
298,18,IIT Roorkee - Indian Institute of Technology,19, ₹ 14.60 Lakh , ₹ 4.00 Lakh,4.4,4.3,4.6,4.1,4.7,4.5,442
299,19,IIT Kanpur - Department of Industrial and Management Engineering,20, ₹ 9.78 Lakh , ₹ 2.80 Lakh,4.7,4.2,5.0,4.3,4.8,5.0,6
300,20,S.P. Jain Institute of Management & Research (SPJIMR),21, ₹ 12.10 Lakh , ₹ 20.42 Lakh,4.3,4.2,3.9,4.4,4.4,4.3,36
301,21,IIM Udaipur - Indian Institute of Management,22, ₹ 30.10 Lakh , ₹ 16.30 Lakh,4.3,4.2,4.1,4.6,4.4,4.2,61
302,22,IIM Kashipur - Indian Institute of Management,23, ₹ 13.00 Lakh , ₹ 14.88 Lakh,4.4,4.3,4.7,4.4,4.5,4.3,163
303,23,Indian Institute of Foreign Trade,24, ₹ 12.72 Lakh , ₹ 21.77 Lakh,4.4,4.6,4.0,4.4,4.4,4.3,45
304,24,"NMIMS School of Business Management, Mumbai",25, ₹ 24.00 Lakh , ₹ 18.04 Lakh,4.2,4.1,4.5,4.4,4.1,3.8,138
305,25,IIM Shillong - Indian Institute of Management,26, ₹ 16.00 Lakh , ₹ 17.50 Lakh ,3.8,3.8,3.3,3.5,4.3,3.8,24
306,26,"Amrita School of Business, Amrita Vishwa Vidyapeetham, Coimbatore",27, ₹ 10.50 Lakh, ₹ 5.21 Lakh ,4.1,3.9,4.3,4.4,4.2,3.9,49
307,27,"Amity University, Noida",28, ₹ 4.86 Lakh,,4.0,3.6,4.5,4.0,4.5,3.6,1529
308,28,Jamia Millia Islamia [JMI],29,, ₹ 5.00 Lakh ,4.3,3.6,4.4,4.3,4.3,4.7,552
309,29,"International Management Institute, New Delhi",30," ₹ 4,400", ₹ 6.00 Lakh ,4.1,4.2,3.6,4.6,4.3,3.9,212
310,30,"Great Lakes Institute of Management, Chennai",31, ₹ 17.32 Lakh, ₹ 12.15 Lakh ,4.3,3.9,4.7,4.7,4.4,3.9,73
311,31,IFHE Hyderabad - ICFAI Foundation For Higher Education,32, ₹ 17.25 Lakh, ₹ 1.80 Lakh,3.9,3.5,4.3,3.9,4.3,3.4,501
312,32,IIM Visakhapatnam - Indian Institute of Management,33, ₹ 15.05 Lakh, ₹ 12.00 Lakh ,4.3,4.2,4.4,4.6,4.1,4.4,39
313,33,LPU - Lovely Professional University,34, ₹ 7.60 Lakh, ₹ 6.15 Lakh ,4.3,4.0,4.6,4.1,4.5,4.1,3917
314,34,"Xavier School of Human Resource Management, Xavier University Bhubaneswar",35, ₹ 17.90 Lakh, ₹ 14.50 Lakh ,4.0,3.9,4.5,4.0,4.3,3.4,19
315,35,IIM Jammu - Indian Institute of Management,36, ₹ 15.56 Lakh, ₹ 10.00 Lakh ,4.0,4.0,3.5,4.2,4.0,4.0,69
316,36,GIM - Goa Institute of Management,36, ₹ 18.31 Lakh, ₹ 11.00 Lakh ,4.3,4.1,4.6,4.2,4.7,4.0,127
317,37,T.A. Pai Management Institute (TAPMI),38, ₹ 16.00 Lakh, ₹ 11.01 Lakh ,4.2,4.0,4.4,4.3,4.3,4.0,84
318,38,NIT Trichy - National Institute of Technology,39, ₹ 1.40 Lakh, ₹ 7.60 Lakh ,4.4,4.4,4.3,4.1,4.5,4.5,288
319,39,Chandigarh University (CU),40, ₹ 4.34 Lakh, ₹ 6.70 Lakh ,4.3,4.2,4.4,4.1,4.4,4.1,3159
320,0,UPES,41, ₹ 15.46 Lakh, ₹ 21.00 Lakh,3.9,3.7,4.3,4.0,4.1,3.5,909
321,1,MICA,42, ₹ 13.00 Lakh , ₹ 17.70 Lakh,4.4,4.2,4.5,4.2,4.8,4.2,33
322,2,IIM Nagpur - Indian Institute of Management,43, ₹ 13.00 Lakh ,,4.3,4.3,4.0,4.3,4.3,4.7,3
323,3,IMT Ghaziabad - Institute of Management Technology,44, ₹ 18.80 Lakh, ₹ 14.00 Lakh ,4.2,3.9,4.3,4.2,4.5,4.0,257
324,4,"Institute of Management, Nirma University",45, ₹ 9.52 Lakh, ₹ 9.25 Lakh ,3.9,3.6,4.4,3.7,4.1,3.7,158
325,5,IIT Dhanbad (ISM) - Indian Institute of Technology (ISM),46," ₹ 85,000", ₹ 6.10 Lakh ,4.2,4.1,4.1,3.9,4.3,4.4,367
326,6,KL (Deemed to be University),47, ₹ 5.60 Lakh, ₹ 3.91 Lakh ,4.1,4.2,4.3,4.2,4.1,3.8,389
327,7,BHU - Banaras Hindu University,50, ₹ 1.00 Lakh, ₹ 8.14 Lakh ,4.2,3.8,4.1,4.2,4.5,4.6,1059
328,8,Jaipuria Noida - Jaipuria Institute of Management,51, ₹ 13.50 Lakh, ₹ 6.97 Lakh ,4.0,3.9,4.1,4.2,4.0,3.8,448
329,9,"Great Lakes Institute of Management, Gurgaon",52, ₹ 11.76 Lakh, ₹ 9.00 Lakh ,4.3,4.0,4.3,4.8,4.1,4.2,49
330,10,LM Thapar School of Management,53, ₹ 7.29 Lakh, ₹ 5.90 Lakh ,4.1,3.8,4.7,4.2,4.1,3.9,51
331,11,"School of Management, BML Munjal University",54, ₹ 11.55 Lakh, ₹ 8.25 Lakh ,4.1,3.8,4.6,4.5,4.0,3.9,35
332,12,IIM Amritsar - Indian Institute of Management,55, ₹ 11.50 Lakh, ₹ 12.00 Lakh ,4.4,4.6,3.9,4.7,4.3,4.7,58
333,13,Birla Institute of Management Technology,56, ₹ 13.00 Lakh, ₹ 8.50 Lakh ,3.9,3.6,4.1,4.1,3.9,3.6,206
334,14,Aligarh Muslim University,57, ₹ 5.87 Lakh, ₹ 5.25 Lakh ,4.3,3.6,4.4,4.4,4.3,4.7,481
335,15,"Institute of Rural Management, Anand",58, ₹ 12.60 Lakh, ₹ 10.10 Lakh ,4.6,4.4,4.6,4.6,4.7,4.7,50
336,16,IMI Kolkata - International Management Institute,59, ₹ 10.50 Lakh, ₹ 8.71 Lakh ,4.3,4.0,4.7,4.4,4.4,4.0,76
337,17,FORE School of Management,60, ₹ 16.98 Lakh, ₹ 10.30 Lakh ,3.8,4.0,3.3,4.2,3.8,3.8,386
338,18,"IFMR Graduate school of Business, KREA University (IFMR GSB), Sricity",60, ₹ 14.21 Lakh, ₹ 9.90 Lakh ,4.0,3.9,3.9,4.2,4.0,3.8,92
339,19,Guru Gobind Singh Indraprastha University,62, ₹ 2.00 Lakh, ₹ 5.20 Lakh ,3.9,3.4,4.0,3.9,4.0,4.0,389
340,20,PSG College of Technology,63, ₹ 3.54 Lakh , ₹ 2.96 Lakh,4.4,4.4,4.2,4.2,4.4,4.6,197
341,21,IIITM Gwalior - Indian Institute of Information Technology and Management,64, ₹ 5.86 Lakh , ₹ 5.49 Lakh,3.9,3.9,4.3,3.5,3.9,4.0,67
342,22,Graphic Era,65,, ₹ 5.71 Lakh ,4.1,3.9,4.4,4.3,4.3,3.9,504
343,23,IIM Sambalpur - Indian Institute of Management,66, ₹ 10.50 Lakh, ₹ 10.35 Lakh ,4.3,4.2,4.1,4.8,3.9,4.3,15
344,24,"Prin. L. N. Welingkar Institute of Management Development and Research, Mumbai",68, ₹ 13.00 Lakh, ₹ 13.75 Lakh,4.0,3.6,4.3,4.1,4.1,3.7,204
345,25,IIM Sirmaur - Indian Institute of Management,69, ₹ 10.00 Lakh , ₹ 9.15 Lakh,4.1,4.0,3.8,4.3,4.1,4.1,71
346,26,IMI Bhubaneswar - International Management Institute,70, ₹ 8.91 Lakh , ₹ 16.62 Lakh,4.3,4.0,4.6,4.6,4.3,3.9,105
347,27,K J Somaiya Institute of Management,71, ₹ 9.00 Lakh , ₹ 8.20 Lakh,4.1,3.8,4.3,4.0,4.2,4.3,167
348,28,Christ University,72,, ₹ 7.20 Lakh ,4.2,3.9,4.5,4.1,4.5,4.2,1379
349,29,IIM Bodh Gaya - Indian Institute of Management,73, ₹ 9.09 Lakh, ₹ 10.00 Lakh ,4.0,4.2,3.5,4.2,3.8,4.3,96
350,30,Rajagiri Business School,74, ₹ 7.00 Lakh, ₹ 4.25 Lakh ,4.1,3.7,4.4,4.0,4.6,4.0,7
351,31,"Institute of Management Technology, Hyderabad",75, ₹ 11.30 Lakh, ₹ 8.50 Lakh ,4.3,4.1,4.4,4.4,4.3,4.1,64
352,32,Visvesvaraya Technological University,76," ₹ 11,940", ₹ 3.50 Lakh ,3.7,3.1,3.3,4.0,3.8,4.3,35
353,33,"Saveetha Institute of Medical and Technical Sciences, Poonamallee",77, ₹ 7.00 Lakh, ₹ 5.40 Lakh ,4.0,4.0,4.3,4.0,4.0,3.8,4
354,34,"Birla Institute of Technology, Mesra",78, ₹ 5.18 Lakh, ₹ 4.20 Lakh ,3.9,4.0,4.0,3.7,4.3,3.7,571
