,index,college_name,NIRF_RANK,fee,salary,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,value_rating,No_of_reviews
39,39,SASTRA (Deemed to be University),41, ₹ 6.00 Lakh, ₹ 6.00 Lakh ,4.2,4.3,4.1,4.1,4.2,4.4,549
40,0,IIST - Indian Institute of Space Science and Technology,43, ₹ 2.50 Lakh, ₹ 10.64 Lakh ,4.1,3.7,4.3,4.6,3.3,4.7,32
41,1,KL (Deemed to be University),44,,,4.1,4.2,4.3,4.2,4.1,3.8,389
42,2,Chandigarh University (CU),45, ₹ 8.48 Lakh, ₹ 6.60 Lakh ,4.3,4.2,4.4,4.1,4.4,4.1,3165
43,3,MNIT Jaipur - Malaviya National Institute of Technology,46, ₹ 2.50 Lakh, ₹ 8.10 Lakh ,4.2,4.0,4.4,3.9,4.4,4.2,626
44,4,MNNIT Allahabad - Motilal Nehru National Institute of Technology,47, ₹ 6.92 Lakh, ₹ 9.00 Lakh ,4.1,4.4,3.6,3.9,4.1,4.4,531
45,5,SSN College of Engineering,48, ₹ 2.00 Lakh, ₹ 5.50 Lakh ,4.5,4.4,4.7,4.3,4.7,4.4,134
46,6,Visvesvaraya Technological University,49, ₹ 1.35 Lakh,,3.7,3.1,3.3,4.0,3.8,4.3,35
47,7,NIT Kurukshetra - National Institute of Technology,50, ₹ 1.67 Lakh, ₹ 9.00 Lakh ,4.1,4.0,4.0,3.8,4.3,4.2,458
48,8,LPU - Lovely Professional University,51, ₹ 9.60 Lakh, ₹ 6.20 Lakh ,4.3,4.0,4.6,4.1,4.5,4.1,3922
49,9,NIT Jalandhar - Dr. B. R. Ambedkar National Institute of Technology,52, ₹ 1.67 Lakh, ₹ 6.50 Lakh ,3.9,3.9,3.9,3.7,4.1,3.9,495
50,10,"Birla Institute of Technology, Mesra",53, ₹ 11.40 Lakh, ₹ 8.10 Lakh ,3.9,4.0,4.0,3.7,4.3,3.7,571
51,11,Sathyabama Institute of Science and Technology,54, ₹ 3.60 Lakh ,,3.8,3.7,3.7,3.9,3.8,3.7,566
52,12,IIT Tirupati - Indian Institute of Technology,56, ₹ 8.00 Lakh, ₹ 9.00 Lakh ,4.4,4.3,4.5,4.6,4.3,4.5,12
53,13,PSG College of Technology,57, ₹ 2.00 Lakh, ₹ 5.00 Lakh ,4.4,4.4,4.2,4.2,4.4,4.6,197
54,14,"Sardar Vallabhbhai National Institute of Technology, Surat",58, ₹ 5.00 Lakh, ₹ 6.90 Lakh ,4.0,3.8,4.2,3.6,4.3,4.1,517
55,15,Banasthali Vidyapith,59, ₹ 5.56 Lakh, ₹ 5.60 Lakh ,4.2,3.7,4.3,4.4,4.3,4.3,651
56,16,NIT Meghalaya - National Institute of Technology,60, ₹ 5.00 Lakh, ₹ 6.50 Lakh ,3.8,3.9,3.3,4.2,3.6,3.9,32
57,17,UPES,61, ₹ 15.92 Lakh, ₹ 4.50 Lakh ,3.9,3.7,4.3,4.0,4.1,3.5,909
58,18,"International Institute of Information Technology, Hyderabad",62, ₹ 13.20 Lakh, ₹ 5.00 Lakh,4.3,4.8,4.0,4.4,4.0,4.4,90
59,19,NIT Patna - National Institute of Technology,63, ₹ 6.80 Lakh , ₹ 13.62 Lakh,3.9,3.9,3.6,4.0,3.9,4.1,315
60,20,Graphic Era,64, ₹ 5.45 Lakh , ₹ 5.00 Lakh,4.1,3.9,4.4,4.3,4.3,3.9,504
61,21,NIT Raipur - National Institute of Technology,65, ₹ 7.60 Lakh , ₹ 5.00 Lakh,3.8,3.8,3.4,3.8,4.0,3.9,409
62,22,NIT Srinagar - National Institute of Technology,66, ₹ 6.25 Lakh , ₹ 3.34 Lakh,3.8,3.5,3.8,3.8,4.0,3.8,226
63,23,Ramaiah Institute of Technology,67, ₹ 5.50 Lakh , ₹ 8.00 Lakh,4.2,4.1,4.3,4.1,4.3,4.1,344
64,24,IIT Palakkad - Indian Institute of Technology,68, ₹ 9.00 Lakh , ₹ 17.00 Lakh,3.9,3.9,3.9,4.4,3.8,3.8,8
65,25,IIIT Delhi - Indraprastha Institute of Information Technology,69, ₹ 17.00 Lakh , ₹ 5.77 Lakh,4.5,4.5,4.7,4.6,4.4,4.2,108
66,26,MANIT - Maulana Azad National Institute of Technology,70, ₹ 8.00 Lakh , ₹ 3.62 Lakh,4.0,4.0,3.8,3.7,4.4,4.1,504
67,27,"College of Engineering, Pune",72, ₹ 8.12 Lakh , ₹ 2.00 Lakh,4.3,4.3,4.3,4.0,4.4,4.4,291
68,28,SKCET - Sri Krishna College of Engineering and Technology,73, ₹ 5.00 Lakh , ₹ 7.32 Lakh,4.3,4.1,4.6,4.1,4.5,4.0,113
69,29,Guru Gobind Singh Indraprastha University,74, ₹ 13.60 Lakh,,3.9,3.4,4.0,3.9,4.0,4.0,389
70,30,"Manipal University, Jaipur",75, ₹ 4.50 Lakh , ₹ 1.58 Lakh,4.1,3.5,4.8,4.1,4.6,3.6,473
